Integration Report

Project Name: ,Project 41,Type:,Residential,Location:,"London, England"
Quotation Number:,.0,Created by:,Anthony Carter,Document Revision:,
Lutron Designer 23.7.0.17651,,Created on:,"December 05, 2023",,

Device name,Model,href,Component,Component href,Component Name
,,,Led 9,/led/154628,
,,,Led 10,/led/154629,
Ground Floor\‎Lutron Headend\‎Entry KP Scene Setting\‎CSD 001,HWIS-10BRL-F-SN,/device/162914,Button 1,/button/162931,Shading
,,,Button 2,/button/162932,Reset
,,,Button 3,/button/162933,Day
,,,Button 4,/button/162934,Night
,,,Button 5,/button/162935,Entertain
,,,Button 6,/button/162936,Relax
,,,Button 7,/button/162937,Off
,,,Button 8,/button/162938,
,,,Button 9,/button/162939,
,,,Button 10,/button/162940,
,,,Button 18,/button/162941,
,,,Button 19,/button/162943,
,,,Led 1,/led/162920,
,,,Led 2,/led/162921,
,,,Led 3,/led/162922,
,,,Led 4,/led/162923,
,,,Led 5,/led/162924,
,,,Led 6,/led/162925,
,,,Led 7,/led/162926,
,,,Led 8,/led/162927,
,,,Led 9,/led/162928,
,,,Led 10,/led/162929,
Ground Floor\‎Lutron Headend\‎Crestron All On & Off\‎CSD 001,Phantom Keypad,/device/198766,Button 1,/button/198769,All On
,,,Button 2,/button/198776,All Off
,,,Led 001,/led/198768,
,,,Led 002,/led/198775,
Ground Floor\‎Lutron Headend\‎Network Interface,QSE-CI-NWK-E,/device/5724,,,
Ground Floor\‎Lutron Headend\‎Crestron AV,Ethernet Device,/thirdpartydevice/7270,#,1,1
,,,"#PLAY,1",2,2
,,,"#DEVICE,15,1,3",3,3
,,,"""command""",4,4
,,,5,5,5
,,,6,6,6
,,,7,7,7
,,,8,8,8
,,,9,9,9
,,,10,10,10
,,,11,11,11
,,,12,12,12
,,,13,13,13
,,,14,14,14
,,,15,15,15
,,,16,16,16
,,,17,17,17
,,,18,18,18
,,,19,19,19
,,,20,20,20
Ground Floor\‎Lutron Headend\‎IO 001,QSE-IO,/device/216122,,,
